,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
165,Grand Princess,Canada,0.0,0.0,2020-03-03,0,0,0,0
166, ,Diamond Princess,0.0,0.0,2020-03-03,706,6,10,690
167, ,MS Zaandam,0.0,0.0,2020-03-03,0,0,0,0
168,Diamond Princess,Canada,0.0,0.0,2020-03-04,0,0,0,0
169,Grand Princess,Canada,0.0,0.0,2020-03-04,0,0,0,0
170, ,Diamond Princess,0.0,0.0,2020-03-04,706,6,10,690
171, ,MS Zaandam,0.0,0.0,2020-03-04,0,0,0,0
172,Diamond Princess,Canada,0.0,0.0,2020-03-05,0,0,0,0
173,Grand Princess,Canada,0.0,0.0,2020-03-05,0,0,0,0
174, ,Diamond Princess,0.0,0.0,2020-03-05,706,6,10,690
175, ,MS Zaandam,0.0,0.0,2020-03-05,0,0,0,0
176,Diamond Princess,Canada,0.0,0.0,2020-03-06,0,0,0,0
177,Grand Princess,Canada,0.0,0.0,2020-03-06,0,0,0,0
178, ,Diamond Princess,0.0,0.0,2020-03-06,706,6,40,660
179, ,MS Zaandam,0.0,0.0,2020-03-06,0,0,0,0
180,Diamond Princess,Canada,0.0,0.0,2020-03-07,0,0,0,0
181,Grand Princess,Canada,0.0,0.0,2020-03-07,0,0,0,0
182, ,Diamond Princess,0.0,0.0,2020-03-07,706,6,40,660
183, ,MS Zaandam,0.0,0.0,2020-03-07,0,0,0,0
184,Diamond Princess,Canada,0.0,0.0,2020-03-08,0,0,0,0
185,Grand Princess,Canada,0.0,0.0,2020-03-08,0,0,0,0
186, ,Diamond Princess,0.0,0.0,2020-03-08,706,6,40,660
187, ,MS Zaandam,0.0,0.0,2020-03-08,0,0,0,0
188,Diamond Princess,Canada,0.0,0.0,2020-03-09,0,0,0,0
189,Grand Princess,Canada,0.0,0.0,2020-03-09,0,0,0,0
190, ,Diamond Princess,0.0,0.0,2020-03-09,706,6,40,660
191, ,MS Zaandam,0.0,0.0,2020-03-09,0,0,0,0
192,Diamond Princess,Canada,0.0,0.0,2020-03-10,0,0,0,0
193,Grand Princess,Canada,0.0,0.0,2020-03-10,0,0,0,0
194, ,Diamond Princess,0.0,0.0,2020-03-10,706,6,40,660
195, ,MS Zaandam,0.0,0.0,2020-03-10,0,0,0,0
196,Diamond Princess,Canada,0.0,0.0,2020-03-11,0,0,0,0
197,Grand Princess,Canada,0.0,0.0,2020-03-11,0,0,0,0
198, ,Diamond Princess,0.0,0.0,2020-03-11,706,7,325,374
199, ,MS Zaandam,0.0,0.0,2020-03-11,0,0,0,0
200,Diamond Princess,Canada,0.0,0.0,2020-03-12,0,0,0,0
201,Grand Princess,Canada,0.0,0.0,2020-03-12,0,0,0,0
202, ,Diamond Princess,0.0,0.0,2020-03-12,706,7,325,374
203, ,MS Zaandam,0.0,0.0,2020-03-12,0,0,0,0
204,Diamond Princess,Canada,0.0,0.0,2020-03-13,0,0,0,0
205,Grand Princess,Canada,0.0,0.0,2020-03-13,2,0,0,2
206, ,Diamond Princess,0.0,0.0,2020-03-13,706,7,325,374
207, ,MS Zaandam,0.0,0.0,2020-03-13,0,0,0,0
208,Diamond Princess,Canada,0.0,0.0,2020-03-14,0,0,0,0
209,Grand Princess,Canada,0.0,0.0,2020-03-14,2,0,0,2
210, ,Diamond Princess,0.0,0.0,2020-03-14,706,7,325,374
211, ,MS Zaandam,0.0,0.0,2020-03-14,0,0,0,0
212,Diamond Princess,Canada,0.0,0.0,2020-03-15,0,0,0,0
213,Grand Princess,Canada,0.0,0.0,2020-03-15,2,0,0,2
214, ,Diamond Princess,0.0,0.0,2020-03-15,706,7,325,374
215, ,MS Zaandam,0.0,0.0,2020-03-15,0,0,0,0
216,Diamond Princess,Canada,0.0,0.0,2020-03-16,0,0,0,0
217,Grand Princess,Canada,0.0,0.0,2020-03-16,2,0,0,2
218, ,Diamond Princess,0.0,0.0,2020-03-16,706,7,325,374
219, ,MS Zaandam,0.0,0.0,2020-03-16,0,0,0,0
220,Diamond Princess,Canada,0.0,0.0,2020-03-17,0,0,0,0
221,Grand Princess,Canada,0.0,0.0,2020-03-17,8,0,0,8
222, ,Diamond Princess,0.0,0.0,2020-03-17,706,7,325,374
223, ,MS Zaandam,0.0,0.0,2020-03-17,0,0,0,0
224,Diamond Princess,Canada,0.0,0.0,2020-03-18,0,0,0,0
225,Grand Princess,Canada,0.0,0.0,2020-03-18,9,0,0,9
226, ,Diamond Princess,0.0,0.0,2020-03-18,712,7,325,380
227, ,MS Zaandam,0.0,0.0,2020-03-18,0,0,0,0
228,Diamond Princess,Canada,0.0,0.0,2020-03-19,0,0,0,0
229,Grand Princess,Canada,0.0,0.0,2020-03-19,9,0,0,9
230, ,Diamond Princess,0.0,0.0,2020-03-19,712,7,325,380
231, ,MS Zaandam,0.0,0.0,2020-03-19,0,0,0,0
232,Diamond Princess,Canada,0.0,0.0,2020-03-20,0,0,0,0
233,Grand Princess,Canada,0.0,0.0,2020-03-20,10,0,0,10
234, ,Diamond Princess,0.0,0.0,2020-03-20,712,7,325,380
235, ,MS Zaandam,0.0,0.0,2020-03-20,0,0,0,0
